,Vehicle,engine_type,engine_config,cylinders,displacement,hp,tq
0,2019 Acura RDX Specs: FWD w/Technology Pkg,i4,i,4,2.0,272,280
1,2019 Acura RDX Specs: FWD w/Advance Pkg,i4,i,4,2.0,272,280
2,2019 Acura RDX Specs: FWD w/A-Spec Pkg,i4,i,4,2.0,272,280
3,2019 Acura RDX Specs: FWD,i4,i,4,2.0,272,280
4,2019 Acura RDX Specs: AWD w/Technology Pkg,i4,i,4,2.0,272,280
5,2019 Acura RDX Specs: AWD w/Advance Pkg,i4,i,4,2.0,272,280
6,2019 Acura RDX Specs: AWD w/A-Spec Pkg,i4,i,4,2.0,272,280
7,2018 Acura RDX Specs: AWD,v6,v,6,3.5,279,252
8,2018 Acura RDX Specs: FWD w/Technology/AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
9,2018 Acura RDX Specs: FWD w/Technology Pkg,v6,v,6,3.5,279,252
10,2018 Acura RDX Specs: FWD w/Advance Pkg,v6,v,6,3.5,279,252
11,2018 Acura RDX Specs: FWD w/AcuraWatch Plus,v6,v,6,3.5,279,252
12,2018 Acura RDX Specs: FWD,v6,v,6,3.5,279,252
13,2018 Acura RDX Specs: AWD w/Technology/AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
14,2018 Acura RDX Specs: AWD w/Technology Pkg,v6,v,6,3.5,279,252
15,2018 Acura RDX Specs: AWD w/Advance Pkg,v6,v,6,3.5,279,252
16,2018 Acura RDX Specs: AWD w/AcuraWatch Plus,v6,v,6,3.5,279,252
17,2016 Acura RDX Specs: AWD 4-Door,v6,v,6,3.5,279,252
18,2016 Acura RDX Specs: FWD 4-Door Tech/AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
19,2016 Acura RDX Specs: FWD 4-Door Tech Pkg,v6,v,6,3.5,279,252
20,2016 Acura RDX Specs: FWD 4-Door Advance Pkg,v6,v,6,3.5,279,252
21,2016 Acura RDX Specs: FWD 4-Door AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
22,2016 Acura RDX Specs: FWD 4-Door,v6,v,6,3.5,279,252
23,2016 Acura RDX Specs: AWD 4-Door Tech/AcuraWatch Plus Pkg,v6,v,6,3.5,279,252
24,2016 Acura RDX Specs: AWD 4-Door Tech Pkg,v6,v,6,3.5,279,252
25,2016 Acura RDX Specs: AWD 4-Door Advance Pkg,v6,v,6,3.5,279,252
